Track name, Artist name, Album, Playlist name, Type, ISRC
Suddenly (feat. Cliff Richard) - From the Movie 'Xanadu',Olivia Newton-John,Two's Company - The Duets,non_hits,Playlist track,USMC18010385
For Your Eyes Only,Sheena Easton,You Could Have Been With Me [Bonus Tracks Version],non_hits,Playlist track,USMG28100001
The Beach Boys Medley,CDM Beach Combers,50 Years at the Beach-A Tribute to Surf Music,non_hits,Playlist track,CAM460403022
Modern Girl,Sheena Easton,Take My Time,non_hits,Playlist track,GBAYE8000031
Seven Year Ache,Rosanne Cash,"Transatlantic Sessions - Series 2, Vol. One",non_hits,Playlist track,GBQSK1302912
I'm Coming Out,Diana Ross,Diana,non_hits,Playlist track,USMO18000073
Miss Sun,Boz Scaggs,Hits!,non_hits,Playlist track,USSM18000684
Time Is Time,Andy Gibb,Greatest Hits,non_hits,Playlist track,NLF050190043
Stand By Me - Single Version,Mickey Gilley,Ten Years Of Hits,non_hits,Playlist track,USLIC0601016
Heartbreaker,Pat Benatar,In The Heat Of The Night,non_hits,Playlist track,USCH38400033
Deja Vu,Dionne Warwick,Dionne (Expanded Edition),non_hits,Playlist track,USAR17900004
Drivin' My Life Away,Eddie Rabbitt,Country Car Music,non_hits,Playlist track,USWB19900954
Take The Long Way Home - 2010 Remastered,Supertramp,Breakfast In America (Deluxe Edition),non_hits,Playlist track,USUM71021486
Sara,Fleetwood Mac,Greatest Hits,non_hits,Playlist track,USWB19900208
Wait for Me,Daryl Hall & John Oates,X-Static (Expanded Edition),non_hits,Playlist track,USRC17908251
September Morn,Neil Diamond,September Morn,non_hits,Playlist track,USUG11400756
Give Me the Night,George Benson,The George Benson Collection,non_hits,Playlist track,USWB10902424
Broken Hearted Me,Anne Murray,I'll Always Love You,non_hits,Playlist track,CAE157900011
You Decorated My Life,Kenny Rogers,The Best Of Kenny Rogers: Through The Years,non_hits,Playlist track,USCN10500378
Tusk,Fleetwood Mac,Greatest Hits,non_hits,Playlist track,USWB19900206
In America,The Charlie Daniels Band,A Decade Of Hits,non_hits,Playlist track,USSM18000587
Breakdown Dead Ahead,Boz Scaggs,My Time: A Boz Scaggs Anthology (1969-1997),non_hits,Playlist track,USSM17900276
Ships,Barry Manilow,One Voice,non_hits,Playlist track,USAR19800381
All Night Long - Live,Joe Walsh,Back Against The Wall (Live California '83),non_hits,Playlist track,GBLLT2104076
Refugee,Tom Petty and the Heartbreakers,Damn The Torpedoes (Deluxe Edition),non_hits,Playlist track,USMC17909357
Flava in Ya Ear,Craig Mack,Project: Funk Da World,non_hits,Playlist track,USBB40581290
U.N.I.T.Y.,Queen Latifah,Women Of Hip Hop,non_hits,Playlist track,USMO10200676
Secret,Madonna,Bedtime Stories,non_hits,Playlist track,USWB19400263
Here Comes the Hotstepper,Ini Kamoze,Henkel (No. 1 Hits),non_hits,Playlist track,USSM19802296
Everyday,Phil Collins,Love Songs (A Compilation Old and New),non_hits,Playlist track,USWI19600122
Don't Take The Girl,Tim McGraw,Not A Moment Too Soon,non_hits,Playlist track,USCRB9900268
Got Me Waiting,Heavy D & The Boyz,Nuttin' But Love,non_hits,Playlist track,USMC19442199
Indian Outlaw,Tim McGraw,Not A Moment Too Soon,non_hits,Playlist track,USCRB9900266
Always,Bon Jovi,Cross Road,non_hits,Playlist track,USPR39412221
I'm The Only One,Melissa Etheridge,Yes I Am,non_hits,Playlist track,USIR19300002
